Semantic_Similarity,Distance_km,Experience_Months,Label
0.2703182697296142,38.697802427798166,43,0
0.4764118194580078,21.94392198760261,37,1
0.570785403251648,42.929895995569126,54,1
0.4980818331241607,34.86840145296819,0,1
0.4641345739364624,4.708867394382477,18,1
0.3364608287811279,48.7811175818378,11,1
0.3264878690242767,38.05698509951765,34,0
0.424922227859497,39.30321526384769,38,1
0.3703384101390838,6.405681633777293,53,1
0.6624388098716736,22.51929689477836,22,1
0.4147513508796692,18.53990121162906,14,1
0.3867589235305786,46.33824944243009,55,1
0.4330815076828003,32.19325600403323,40,0
0.4581137001514435,41.1380806635415,45,1
0.4948742389678955,22.17070994136656,26,0
0.4053596258163452,11.361936089238844,26,0
0.6150753498077393,27.72923935079174,23,1
0.2087422758340835,3.1908628052087664,44,0
0.433025598526001,41.3815585996291,12,1
0.3384848535060882,31.583219956103243,58,1
0.5065192580223083,37.90438700426869,10,1
0.1626791656017303,17.726298406493417,27,0
0.6082799434661865,48.534901219745166,18,1
0.3349044322967529,44.65605606610988,38,0
0.491528570652008,38.91917485368809,40,0
0.4637328386306762,9.73193539259838,55,0
0.5076215267181396,23.33605018635171,47,1
0.215161919593811,2.190188289361439,14,0
0.2673816382884979,7.714474603377392,12,1
0.2369101196527481,34.15244766212273,53,0
0.5271040797233582,37.23810779539086,29,1
0.3203904628753662,48.3754866217105,5,0
0.5749657154083252,16.291267906907596,49,1
0.6481008529663086,18.522985301743443,38,1
0.2915259003639221,23.4777905637904,1,1
0.4764302372932434,9.473567954214284,46,1
0.4703359603881836,6.496075266773582,36,0
0.2206241190433502,23.78524631129669,36,0
0.3054819703102112,11.345467452544206,51,0
0.3036490380764007,33.49069973412552,29,0
0.3980624675750732,21.857595943616538,27,1
0.2701908946037292,41.63390980289187,37,0
0.4875414371490478,35.01325510011245,11,1
0.1618489474058151,15.618332069102053,9,0
0.2112175375223159,41.61299006976005,50,0
0.1822666078805923,40.238217874840096,12,0
0.4431417882442474,19.373918951508724,30,0
0.2072490751743316,14.416405196512205,16,0
0.2546842694282532,34.12477519874877,13,0
0.4453773498535156,6.98762418046549,35,1
0.101618468761444,9.995410123755416,48,0
0.3962713479995727,0.3681134875502756,26,1
0.4717739820480346,39.34621887510692,8,1
0.2611187398433685,33.242542829601604,14,0
0.5599147081375122,35.25826893131676,9,1
0.3609925508499145,39.0364515510984,52,0
0.1987296193838119,22.945788776917,19,0
0.4809938669204712,28.43705979764469,22,0
0.5460742712020874,6.989849906382872,4,1
0.4720697999000549,5.726503676798672,26,1
0.2530267834663391,33.42014808952358,54,0
0.204444944858551,23.554810307156625,24,0
0.2428922653198242,28.26180532405944,39,0
0.3701348304748535,38.24994287080128,10,0
0.3922208547592163,31.73591600002954,8,0
0.4009805023670196,27.67897003289979,43,1
0.3354488909244537,27.96035803727068,3,0
0.4944927096366882,15.19750490313061,26,1
0.4078910946846008,1.5408917283969703,19,1
0.1941695511341095,21.83586946161812,0,0
0.3687816262245178,10.72923364097646,31,1
0.2532708346843719,20.426432186231807,57,0
0.3337747454643249,42.67015366340831,4,0
0.522763192653656,11.696974293267036,48,1
0.3359078764915466,2.915137084453301,32,1
0.3617376685142517,14.069194601099827,43,1
0.3197581171989441,14.67968788833418,5,1
0.4913634955883026,33.09582573634475,52,1
0.365017831325531,27.85160761706392,0,1
0.6470280289649963,39.194910455320674,54,1
0.5131664276123047,33.215677016369376,39,1
0.540256142616272,20.319343072003527,20,1
0.522757351398468,40.701019233301736,0,1
0.3239361345767975,8.348645995385196,36,0
0.2665893733501434,1.135603656693024,5,0
0.6176916360855103,4.502393038782087,36,1
0.5700939893722534,36.11796752982252,46,1
0.2373596429824829,23.09386151256937,16,0
0.2479279637336731,8.063588951680089,14,0
0.2494403719902038,25.052238755168176,13,0
0.3368074297904968,7.615605135658421,13,0
0.4908240437507629,34.8160187538868,6,1
0.5673016905784607,22.307813778701536,14,1
0.3079140782356262,19.051061304824124,39,1
0.1973389387130737,15.075604457393826,18,1
0.5071123242378235,31.514129655944423,46,0
0.2297929227352142,18.09063052766952,49,0
0.446357250213623,4.38249596580505,45,1
0.1505532562732696,5.900295106025766,32,0
0.3979749381542206,48.09488322747573,18,0
0.3172788918018341,45.42903453538035,55,0
0.3033024966716766,34.98535669053748,12,0
0.2490777671337127,13.29349807297598,27,0
0.3042986989021301,48.45881886738619,27,1
0.3600519895553589,38.93754519828973,44,0
0.2312963604927063,35.84450945794978,32,0
0.2557968199253082,22.468075107189435,47,0
0.446193516254425,13.612078092257953,55,0
